match,home,away,local,remote_url
1,MEX,RSA,PMSR-M01-MEX-V-RSA.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M01%20MEX%20V%20RSA.pdf
2,KOR,CZE,PMSR-M02-KOR-V-CZE.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M02%20KOR%20V%20CZE%20.pdf
3,CAN,BIH,PMSR-M03-CAN-V-BIH.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M03-CAN-V-BIH-V2.pdf
4,USA,PAR,PMSR-M04-USA-V-PAR.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M04-USA-V-PAR.pdf
5,HAI,SCO,PMSR-M05-HAI-V-SCO.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M05-HAI-V-SCO.pdf
6,AUS,TUR,PMSR-M06-AUS-V-TUR.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M06-AUS-V-TUR.pdf
7,BRA,MAR,PMSR-M07-BRA-V-MAR.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M07-BRA-V-MAR%20POST-V2.pdf
8,QAT,SUI,PMSR-M08-QAT-V-SUI.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M08-QAT-V-SUI.pdf
9,CIV,ECU,PMSR-M09-CIV-V-ECU.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M09-CIV-V-ECU.pdf
10,GER,CUW,PMSR-M10-GER-V-CUW.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M10-GER-V-CUW-V2.pdf
11,NED,JPN,PMSR-M11-NED-V-JPN.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M11-NED-V-JPN.pdf
12,SWE,TUN,PMSR-M12-SWE-V-TUN.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M12-SWE-V-TUN.pdf
13,KSA,URU,PMSR-M13-KSA-V-URU.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M13-KSA-V-URU.pdf
14,ESP,CPV,PMSR-M14-ESP-V-CPV.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M14-ESP-V-CPV.pdf
15,IRN,NZL,PMSR-M15-IRN-V-NZL.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M15-IRN-V-NZL.pdf
16,BEL,EGY,PMSR-M16-BEL-V-EGY.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M16-BEL-V-EGY.pdf
17,FRA,SEN,PMSR-M17-FRA-V-SEN.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M17-FRA-V-SEN.pdf
18,IRQ,NOR,PMSR-M18-IRQ-V-NOR.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M18-IRQ-V-NOR.pdf
19,ARG,ALG,PMSR-M19-ARG-V-ALG.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M19-ARG-V-ALG.pdf
20,AUT,JOR,PMSR-M20-AUT-V-JOR.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M20-AUT-V-JOR-V3.pdf
21,GHA,PAN,PMSR-M21-GHA-V-PAN.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M21-GHA-V-PAN-V2.pdf
22,ENG,CRO,PMSR-M22-ENG-V-CRO.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M22-ENG-V-CRO.pdf
23,POR,COD,PMSR-M23-POR-V-COD.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M23-POR-V-COD.pdf
24,UZB,COL,PMSR-M24-UZB-V-COL.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M24-UZB-V-COL-V2.pdf
25,CZE,RSA,PMSR-M25-CZE-V-RSA.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M25-CZE-V-RSA.pdf
26,SUI,BIH,PMSR-M26-SUI-V-BIH.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M26-SUI-V-BIH.pdf
27,CAN,QAT,PMSR-M27-CAN-V-QAT.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M27-CAN-V-QAT.pdf
28,MEX,KOR,PMSR-M28-MEX-V-KOR.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M28-MEX-V-KOR.pdf
29,BRA,HAI,PMSR-M29-BRA-V-HAI.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M29-BRA-V-HAI.pdf
30,SCO,MAR,PMSR-M30-SCO-V-MAR.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M30-SCO-V-MAR.pdf
31,TUR,PAR,PMSR-M31-TUR-V-PAR.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M31-TUR-V-PAR.pdf
32,USA,AUS,PMSR-M32-USA-V-AUS.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M32-USA-V-AUS.pdf
33,GER,CIV,PMSR-M33-GER-V-CIV.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M33-GER-V-CIV.pdf
34,ECU,CUW,PMSR-M34-ECU-V-CUW.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M34-ECU-V-CUW.pdf
35,NED,SWE,PMSR-M35-NED-V-SWE.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M35-NED-V-SWE.pdf
36,TUN,JPN,PMSR-M36-TUN-V-JPN.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M36-TUN-V-JPN.pdf
37,URU,CPV,PMSR-M37-URU-V-CPV.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M37-URU-V-CPV.pdf
38,ESP,KSA,PMSR-M38-ESP-V-KSA.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M38-ESP-V-KSA.pdf
39,BEL,IRN,PMSR-M39-BEL-V-IRN.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M39-BEL-V-IRN.pdf
40,NZL,EGY,PMSR-M40-NZL-V-EGY.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M40-NZL-V-EGY.pdf
41,NOR,SEN,PMSR-M41-NOR-V-SEN.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M41-NOR-V-SEN.pdf
42,FRA,IRQ,PMSR-M42-FRA-V-IRQ.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M42-FRA-V-IRQ.pdf
43,ARG,AUT,PMSR-M43-ARG-V-AUT.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M43-ARG-V-AUT.pdf
44,JOR,ALG,PMSR-M44-JOR-V-ALG.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M44-JOR-V-ALG.pdf
45,ENG,GHA,PMSR-M45-ENG-V-GHA.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M45-ENG-V-GHA.pdf
46,PAN,CRO,PMSR-M46-PAN-V-CRO.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M46-PAN-V-CRO.pdf
47,POR,UZB,PMSR-M47-POR-V-UZB.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M47-POR-V-UZB-v2.pdf
48,COL,COD,PMSR-M48-COL-V-COD.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M48-COL-V-COD-V2.pdf
49,SCO,BRA,PMSR-M49-SCO-V-BRA.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M49-SCO-V-BRA.pdf
50,MAR,HAI,PMSR-M50-MAR-V-HAI.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M50-MAR-V-HAI-V2.pdf
51,SUI,CAN,PMSR-M51-SUI-V-CAN.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M51-SUI-V-CAN.pdf
52,BIH,QAT,PMSR-M52-BIH-V-QAT.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M52-BIH-V-QAT.pdf
53,CZE,MEX,PMSR-M53-CZE-V-MEX.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M53-CZE-V-MEX.pdf
54,RSA,KOR,PMSR-M54-RSA-V-KOR.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M54-RSA-V-KOR.pdf
55,CUW,CIV,PMSR-M55-CUW-V-CIV.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M55-CUW-V-CIV.pdf
56,ECU,GER,PMSR-M56-ECU-V-GER.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M56-ECU-V-GER.pdf
57,JPN,SWE,PMSR-M57-JPN-V-SWE.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M57-JPN-V-SWE.pdf
58,TUN,NED,PMSR-M58-TUN-V-NED.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M58-TUN-V-NED.pdf
59,TUR,USA,PMSR-M59-TUR-V-USA.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M59-TUR-v-USA.pdf
60,PAR,AUS,PMSR-M60-PAR-V-AUS.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M60-PAR-V-AUS.pdf
61,NOR,FRA,PMSR-M61-NOR-V-FRA.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M61-NOR-V-FRA.pdf
62,SEN,IRQ,PMSR-M62-SEN-V-IRQ.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M62-SEN-V-IRQ.pdf
63,EGY,IRN,PMSR-M63-EGY-V-IRN.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M63-EGY-V-IRN.pdf
64,NZL,BEL,PMSR-M64-NZL-V-BEL.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M64-NZL-V-BEL.pdf
65,CPV,KSA,PMSR-M65-CPV-V-KSA.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M65-CPV-V-KSA.pdf
66,URU,ESP,PMSR-M66-URU-V-ESP.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M66-URU-V-ESP.pdf
67,PAN,ENG,PMSR-M67-PAN-V-ENG.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M67-PAN-V-ENG.pdf
68,CRO,GHA,PMSR-M68-CRO-V-GHA.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M68-CRO-V-GHA.pdf
69,ALG,AUT,PMSR-M69-ALG-V-AUT.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M69-ALG-V-AUT.pdf
70,JOR,ARG,PMSR-M70-JOR-V-ARG.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M70-JOR-V-ARG.pdf
71,COL,POR,PMSR-M71-COL-V-POR.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M71-COL-V-POR.pdf
72,COD,UZB,PMSR-M72-COD-V-UZB.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M72-COD-V-UZB-v2.pdf
73,RSA,CAN,PMSR-M73-RSA-V-CAN.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M73-RSA-V-CAN.pdf
74,GER,PAR,PMSR-M74-GER-V-PAR.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M74-GER-V-PAR-V2.pdf
75,NED,MAR,PMSR-M75-NED-V-MAR.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M75-NED-V-MAR.pdf
